2026/08/22 08:18:32.846, 0, 65 %, 23715 MiB
2026/08/22 08:18:32.847, 1, 91 %, 21031 MiB
2026/08/22 08:18:37.847, 0, 71 %, 23843 MiB
2026/08/22 08:18:37.848, 1, 99 %, 21031 MiB
2026/08/22 08:18:42.849, 0, 62 %, 23427 MiB
2026/08/22 08:18:42.850, 1, 100 %, 21031 MiB
2026/08/22 08:18:47.850, 0, 66 %, 23523 MiB
2026/08/22 08:18:47.851, 1, 100 %, 21031 MiB
2026/08/22 08:18:52.851, 0, 64 %, 23747 MiB
2026/08/22 08:18:52.852, 1, 87 %, 21095 MiB
2026/08/22 08:18:57.852, 0, 68 %, 23619 MiB
2026/08/22 08:18:57.853, 1, 80 %, 21095 MiB
2026/08/22 08:19:02.853, 0, 80 %, 23491 MiB
2026/08/22 08:19:02.854, 1, 88 %, 21095 MiB
2026/08/22 08:19:07.854, 0, 74 %, 23363 MiB
2026/08/22 08:19:07.855, 1, 79 %, 21095 MiB
2026/08/22 08:19:12.855, 0, 72 %, 23299 MiB
2026/08/22 08:19:12.855, 1, 100 %, 21095 MiB
2026/08/22 08:19:17.856, 0, 37 %, 23299 MiB
2026/08/22 08:19:17.856, 1, 88 %, 21095 MiB
2026/08/22 08:19:22.857, 0, 39 %, 23299 MiB
2026/08/22 08:19:22.857, 1, 95 %, 21095 MiB
2026/08/22 08:19:27.858, 0, 39 %, 23299 MiB
2026/08/22 08:19:27.858, 1, 84 %, 21095 MiB
2026/08/22 08:19:32.859, 0, 43 %, 23299 MiB
2026/08/22 08:19:32.859, 1, 94 %, 21095 MiB
2026/08/22 08:19:37.860, 0, 39 %, 23299 MiB
2026/08/22 08:19:37.860, 1, 97 %, 21095 MiB
2026/08/22 08:19:42.861, 0, 38 %, 23299 MiB
2026/08/22 08:19:42.861, 1, 97 %, 21095 MiB
2026/08/22 08:19:47.862, 0, 39 %, 23299 MiB
2026/08/22 08:19:47.862, 1, 86 %, 21095 MiB
2026/08/22 08:19:52.862, 0, 37 %, 23299 MiB
2026/08/22 08:19:52.863, 1, 90 %, 21095 MiB
2026/08/22 08:19:57.863, 0, 35 %, 23299 MiB
2026/08/22 08:19:57.863, 1, 94 %, 21095 MiB
2026/08/22 08:20:02.864, 0, 37 %, 23299 MiB
2026/08/22 08:20:02.864, 1, 100 %, 21095 MiB
2026/08/22 08:20:07.865, 0, 40 %, 23299 MiB
2026/08/22 08:20:07.865, 1, 89 %, 21095 MiB
2026/08/22 08:20:12.866, 0, 39 %, 23299 MiB
2026/08/22 08:20:12.866, 1, 89 %, 21095 MiB
2026/08/22 08:20:17.867, 0, 36 %, 23299 MiB
2026/08/22 08:20:17.867, 1, 99 %, 21095 MiB
2026/08/22 08:20:22.868, 0, 38 %, 23299 MiB
2026/08/22 08:20:22.868, 1, 90 %, 21095 MiB
2026/08/22 08:20:27.868, 0, 43 %, 23299 MiB
2026/08/22 08:20:27.869, 1, 94 %, 21095 MiB
2026/08/22 08:20:32.869, 0, 42 %, 23299 MiB
2026/08/22 08:20:32.869, 1, 85 %, 21095 MiB
2026/08/22 08:20:37.870, 0, 43 %, 23299 MiB
2026/08/22 08:20:37.870, 1, 87 %, 21095 MiB
2026/08/22 08:20:42.871, 0, 40 %, 23299 MiB
2026/08/22 08:20:42.871, 1, 94 %, 21095 MiB
2026/08/22 08:20:47.872, 0, 44 %, 23299 MiB
2026/08/22 08:20:47.872, 1, 100 %, 21095 MiB
